-0.651696, -0.0519869, -0.756696
-0.961839, -0.0120679, -0.27335
-0.845085, 0.00948935, -0.534547
-0.832, -0.00950815, -0.554694
-0.811382, -0.0251528, -0.583975
-0.928361, 0.0286005, -0.370578
-0.829635, -0.0346996, -0.557227
-0.944282, 0.113023, 0.309123
-0.956745, 0.0469652, -0.287113
-0.914094, 0.009308, -0.405395
-0.860289, -0.0182526, -0.50948
-0.996065, -0.00535657, 0.0884692
-0.999169, -0.0136773, 0.038394
-0.962542, 0.0153558, -0.270698
-0.99255, -0.0154361, -0.120856
-0.645677, -0.058749, -0.761347
-0.999861, -0.00456596, 0.0160235
-0.997357, 0.0346771, -0.0638452
-0.780934, -0.013924, -0.624458
-0.950343, 0.0249387, -0.310205
-0.801349, 0.0297574, -0.597457
-0.984079, -0.00441316, -0.177678
-0.883981, -0.0297235, -0.466578
-0.952695, 0.132471, 0.273538
-0.986519, 0.0315502, -0.160577
-0.980604, -0.0558948, -0.187859
-0.926982, 0.0272346, -0.374115
-0.987324, 0.140074, -0.0746328
-0.833344, -0.00537605, -0.552729
-0.991654, 0.0746067, -0.105149
-0.977519, 0.0207159, -0.209825
-0.804964, 0.0769831, 0.588308
-0.938379, 0.0480385, -0.342254
0.0390992, -0.117289, -0.992328
-0.997795, 0.0217165, -0.0627223
-0.996941, -0.0525776, 0.0578251
-0.976813, 0.112798, 0.181971
-0.999637, 0.0267208, -0.00356764
-0.954102, -0.0307495, -0.297898
-0.952447, -0.0758871, -0.295103
-0.863964, -0.0186477, -0.503208
-0.952965, 0.029435, -0.301648
-0.933766, -0.0368286, -0.355985
-0.905634, 0.0554608, -0.420418
-0.818612, 0.0061705, -0.574314
-0.86195, 0.00594243, -0.506958
-0.901044, 0.0589195, -0.429708
-0.882076, 0.0124874, -0.470943
-0.981967, 0.0213577, 0.187843
-0.993345, 0.0358858, 0.109445
